model,model_label,condition_id,item_id,question,condition_type,position_pair,arrangement,earlier_position_card,later_position_card,earlier_month,later_month,response,selected_month,classification,conflict_reported,format_compliant,response_time_seconds
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-late-AA,p01,During which month does the Orvane begin nesting?,agreement,early-late,AA,500,4500,March,March,March,march,supported,False,True,130.332059
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-late-AA,p01,During which month does the Orvane begin nesting?,agreement,early-late,AA,500,4500,March,March,March,march,supported,False,True,2.110173
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-late-AA,p01,During which month does the Orvane begin nesting?,agreement,early-late,AA,500,4500,March,March,March,march,supported,False,True,15.25926
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-late-AB,p01,During which month does the Orvane begin nesting?,conflict,early-late,AB,500,4500,March,September,September,september,later,False,True,88.790828
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-late-AB,p01,During which month does the Orvane begin nesting?,conflict,early-late,AB,500,4500,March,September,March,march,earlier,False,True,2.066857
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-late-AB,p01,During which month does the Orvane begin nesting?,conflict,early-late,AB,500,4500,March,September,September,september,later,False,True,17.824664
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-late-BA,p01,During which month does the Orvane begin nesting?,conflict,early-late,BA,500,4500,September,March,March,march,later,False,True,99.794937
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-late-BA,p01,During which month does the Orvane begin nesting?,conflict,early-late,BA,500,4500,September,March,September,september,earlier,False,True,2.428092
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-late-BA,p01,During which month does the Orvane begin nesting?,conflict,early-late,BA,500,4500,September,March,March,march,later,False,True,20.558682
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-late-BB,p01,During which month does the Orvane begin nesting?,agreement,early-late,BB,500,4500,September,September,September,september,supported,False,True,99.222983
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-late-BB,p01,During which month does the Orvane begin nesting?,agreement,early-late,BB,500,4500,September,September,September,september,supported,False,True,1.816216
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-late-BB,p01,During which month does the Orvane begin nesting?,agreement,early-late,BB,500,4500,September,September,September,september,supported,False,True,18.889782
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-middle-AA,p01,During which month does the Orvane begin nesting?,agreement,early-middle,AA,500,2500,March,March,March,march,supported,False,True,87.205898
